"","k","df","logLik"
"1",5,41.7571766055119,-50531.2754800586
"2",10,36.6700108368474,-39377.233667482
"3",20,31.7427152364347,-31752.6975592276
"4",30,29.6351673148727,-30077.9634159435
"5",40,28.2508453236167,-28631.6444383628
"6",50,27.8258316599563,-28384.4034911537
"7",100,26.7255049698838,-30117.5039727524
